adoption_notes,animal_count,animal_type,average_farm_size,barani_area,canal_and_tubewell_area,canal_area,central_pivot,crop_area,crop_name,crop_share,cultivated_area,diesel_lift_pump,diesel_tubewell,district,drip,electric_lift_pump,electric_tubewell,farm_count,implements_notes,irrigable_not_irrigated_area,irrigated_area,irrigation_method_notes,karez_area,lift_pump_area,lift_pump_count,loan_access,loan_amount_if_available,loan_source,notes,other_irrigation_area,other_power_lift_pump,other_power_tubewell,owner_area_percent,owner_cum_tenant_area_percent,owner_cum_tenant_farm_area,owner_cum_tenant_farms,owner_cum_tenant_farms_percent,owner_farm_area,owner_farms,owner_farms_percent,petrol_lift_pump,petrol_tubewell,sailaba_area,season,solar_lift_pump,solar_tubewell,source_table,source_year,spring_rod_kohi_area,sprinkler,sprinkler_drip_pivot_area,tank_bandat_area,tenant_area_percent,tenant_farm_area,tenant_farms,tenant_farms_percent,total_cropped_area,total_cultivated_area,total_farm_area,total_farms,tractor_count,tractors_owned_cooperative,tractors_owned_individually,tractors_owned_jointly,tubewell_and_lift_pump_total,tubewell_area,tubewell_count,tunnel_area_owner,tunnel_area_owner_cum_tenant,tunnel_area_owner_cum_tenant_percent,tunnel_area_owner_percent,tunnel_area_tenant,tunnel_area_tenant_percent,tunnel_farming,tunnel_farming_area,tunnel_farming_percent_of_farms,uncultivated_area,unirrigated_area,unspecified_irrigation_area
,,,,,,,,5258,Rice/Paddy,1,,,,Cholistan Area,,,,,,,,,,,,,,,"Cholistan Area is a separate non-district reporting unit within Bahawalpur Division; not present in district_master_clean.csv; crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,Kharif,,,"Tables 6.5, 1.0",2024,,,,,,,,,420665,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Maize (Rabi),,,,,Cholistan Area,,,,,,,,,,,,,,,"Cholistan Area is a separate non-district reporting unit within Bahawalpur Division; not present in district_master_clean.csv; crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,Rabi,,,"Tables 6.5, 1.0",2024,,,,,,,,,420665,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Maize (Kharif),,,,,Cholistan Area,,,,,,,,,,,,,,,"Cholistan Area is a separate non-district reporting unit within Bahawalpur Division; not present in district_master_clean.csv; crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,Kharif,,,"Tables 6.5, 1.0",2024,,,,,,,,,420665,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Jowar/Bajra/Gram,0,,,,Cholistan Area,,,,,,,,,,,,,,,"Cholistan Area is a separate non-district reporting unit within Bahawalpur Division; not present in district_master_clean.csv; crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,Kharif+Rabi,,,"Tables 6.5, 1.0",2024,,,,,,,,,420665,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Barley,0,,,,Cholistan Area,,,,,,,,,,,,,,,"Cholistan Area is a separate non-district reporting unit within Bahawalpur Division; not present in district_master_clean.csv; crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,Rabi,,,"Tables 6.5, 1.0",2024,,,,,,,,,420665,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,160236,Cotton,38,,,,Cholistan Area,,,,,,,,,,,,,,,"Cholistan Area is a separate non-district reporting unit within Bahawalpur Division; not present in district_master_clean.csv; crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,Kharif,,,"Tables 6.5, 1.0",2024,,,,,,,,,420665,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2599,Sugarcane,1,,,,Cholistan Area,,,,,,,,,,,,,,,"Cholistan Area is a separate non-district reporting unit within Bahawalpur Division; not present in district_master_clean.csv; crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,Kharif+Rabi,,,"Tables 6.5, 1.0",2024,,,,,,,,,420665,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Tobacco,,,,,Cholistan Area,,,,,,,,,,,,,,,"Cholistan Area is a separate non-district reporting unit within Bahawalpur Division; not present in district_master_clean.csv; crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,Rabi,,,"Tables 6.5, 1.0",2024,,,,,,,,,420665,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Oilseeds,2,,,,Cholistan Area,,,,,,,,,,,,,,,"Cholistan Area is a separate non-district reporting unit within Bahawalpur Division; not present in district_master_clean.csv; crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,Kharif+Rabi,,,"Tables 6.5, 1.0",2024,,,,,,,,,420665,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Pulses,0,,,,Cholistan Area,,,,,,,,,,,,,,,"Cholistan Area is a separate non-district reporting unit within Bahawalpur Division; not present in district_master_clean.csv; crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,Kharif+Rabi,,,"Tables 6.5, 1.0",2024,,,,,,,,,420665,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,21275,Fodders,5,,,,Cholistan Area,,,,,,,,,,,,,,,"Cholistan Area is a separate non-district reporting unit within Bahawalpur Division; not present in district_master_clean.csv; crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,Kharif+Rabi,,,"Tables 6.5, 1.0",2024,,,,,,,,,420665,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Vegetables,0,,,,Cholistan Area,,,,,,,,,,,,,,,"Cholistan Area is a separate non-district reporting unit within Bahawalpur Division; not present in district_master_clean.csv; crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,Kharif+Rabi,,,"Tables 6.5, 1.0",2024,,,,,,,,,420665,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,183,Orchards,,,,,Cholistan Area,,,,,,,,,,,,,,,"Cholistan Area is a separate non-district reporting unit within Bahawalpur Division; not present in district_master_clean.csv; crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,Kharif+Rabi,,,"Tables 6.5, 1.0",2024,,,,,,,,,420665,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Other Crops,1,,,,Cholistan Area,,,,,,,,,,,,,,,"Cholistan Area is a separate non-district reporting unit within Bahawalpur Division; not present in district_master_clean.csv; crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,Kharif+Rabi,,,"Tables 6.5, 1.0",2024,,,,,,,,,420665,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,111,Maize (Total),,,,,Cholistan Area,,,,,,,,,,,,,,,"Cholistan Area is a separate non-district reporting unit within Bahawalpur Division; not present in district_master_clean.csv; crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,Kharif+Rabi,,,"Tables 6.5, 1.0",2024,,,,,,,,,420665,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,179557,Kharif Crops (Total),,,,,Cholistan Area,,,,,,,,,,,,,,,"Cholistan Area is a separate non-district reporting unit within Bahawalpur Division; not present in district_master_clean.csv; crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,Kharif,,,"Tables 6.5, 1.0",2024,,,,,,,,,420665,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,240925,Rabi Crops (Total),,,,,Cholistan Area,,,,,,,,,,,,,,,"Cholistan Area is a separate non-district reporting unit within Bahawalpur Division; not present in district_master_clean.csv; crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,Rabi,,,"Tables 6.5, 1.0",2024,,,,,,,,,420665,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,420665,Total Cropped Area,,,,,Cholistan Area,,,,,,,,,,,,,,,"Cholistan Area is a separate non-district reporting unit within Bahawalpur Division; not present in district_master_clean.csv; crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,Kharif+Rabi,,,"Tables 6.5, 1.0",2024,,,,,,,,,420665,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1,14425,Chiniot District,,1,17373,,owned implements (Table 8.16): cultivator=21832; front_back_blade=2453; laser_leveler=992; mould_board_plough=531; disk_plough=1270; chisel_plough=1504; sub_soiler=22; ridger=922; puddler=9; rotavator=3742; disk_harrow=588; sugarcane_stubble_shaver=13; rice_straw_baler_shredder=25,,,,,,46,,,,"Chiniot District is not present in district_master_clean.csv (remote-sensing master covers 34 districts); Tubewell counts by operating power do not sum to the tubewell total in the source (dual-power units); values preserved as reported; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,214,,,,,,,,,,112,,,44,7811,"Tables 8.1, 8.11, 8.16",2024,,,,,,,,,,,,,19741,26,13109,6606,37534,,37488,,,,,,,,,,,,
,,,,,,,,,,,,50,1445,Nankana Sahib District,,469,9960,,owned implements (Table 8.16): cultivator=9912; front_back_blade=1817; laser_leveler=340; mould_board_plough=1121; disk_plough=741; chisel_plough=1101; ridger=138; power_tiller=45; rotavator=3910; disk_harrow=174; rice_straw_baler_shredder=1,,,,,,926,,,,"Nankana Sahib District is not present in district_master_clean.csv (remote-sensing master covers 34 districts); Tubewell counts by operating power do not sum to the tubewell total in the source (dual-power units); values preserved as reported; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,119,,,,,,,,,11,48,,,396,16341,"Tables 8.1, 8.11, 8.16",2024,,,,,,,,,,,,,10479,58,7709,2713,28118,,27192,,,,,,,,,,,,
,,,,,,,,,,,,,964,Cholistan Area,,,73,,owned implements (Table 8.16): cultivator=2400; front_back_blade=1167; laser_leveler=114; mould_board_plough=144; disk_plough=99; chisel_plough=343; sub_soiler=4; ridger=494; rotavator=715; disk_harrow=22,,,,,,23,,,,"Cholistan Area is a separate non-district reporting unit within Bahawalpur Division; not present in district_master_clean.csv; Tubewell counts by operating power do not sum to the tubewell total in the source (dual-power units); values preserved as reported; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,51,,,,,,,,,,3,,,23,1151,"Tables 8.1, 8.11, 8.16",2024,,,,,,,,,,,,,2341,,1799,543,2188,,2166,,,,,,,,,,,,
,498923,Cattle,,,,,,,,,,,,Chiniot District,,,,,,,,,,,,,,,"Chiniot District is not present in district_master_clean.csv (remote-sensing master covers 34 districts); Head count of animals on census day; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,,,,Table 7.1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1176510,Buffaloes,,,,,,,,,,,,Chiniot District,,,,,,,,,,,,,,,"Chiniot District is not present in district_master_clean.csv (remote-sensing master covers 34 districts); Head count of animals on census day; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,,,,Table 7.1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,38848,Sheep,,,,,,,,,,,,Chiniot District,,,,,,,,,,,,,,,"Chiniot District is not present in district_master_clean.csv (remote-sensing master covers 34 districts); Head count of animals on census day; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,,,,Table 7.1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,166965,Goats,,,,,,,,,,,,Chiniot District,,,,,,,,,,,,,,,"Chiniot District is not present in district_master_clean.csv (remote-sensing master covers 34 districts); Head count of animals on census day; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,,,,Table 7.1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2768,Camels,,,,,,,,,,,,Chiniot District,,,,,,,,,,,,,,,"Chiniot District is not present in district_master_clean.csv (remote-sensing master covers 34 districts); Head count of animals on census day; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,,,,Table 7.1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2826,Horses,,,,,,,,,,,,Chiniot District,,,,,,,,,,,,,,,"Chiniot District is not present in district_master_clean.csv (remote-sensing master covers 34 districts); Head count of animals on census day; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,,,,Table 7.1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2887,Mules,,,,,,,,,,,,Chiniot District,,,,,,,,,,,,,,,"Chiniot District is not present in district_master_clean.csv (remote-sensing master covers 34 districts); Head count of animals on census day; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,,,,Table 7.1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,46371,Asses,,,,,,,,,,,,Chiniot District,,,,,,,,,,,,,,,"Chiniot District is not present in district_master_clean.csv (remote-sensing master covers 34 districts); Head count of animals on census day; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,,,,Table 7.1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Yak/Dzo/Dzomo,,,,,,,,,,,,Chiniot District,,,,,,,,,,,,,,,"Chiniot District is not present in district_master_clean.csv (remote-sensing master covers 34 districts); Head count of animals on census day; ""-"": no value reported in source; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,,,,Table 7.1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,196278,Cattle,,,,,,,,,,,,Nankana Sahib District,,,,,,,,,,,,,,,"Nankana Sahib District is not present in district_master_clean.csv (remote-sensing master covers 34 districts); Head count of animals on census day; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,,,,Table 7.1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,660777,Buffaloes,,,,,,,,,,,,Nankana Sahib District,,,,,,,,,,,,,,,"Nankana Sahib District is not present in district_master_clean.csv (remote-sensing master covers 34 districts); Head count of animals on census day; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,,,,Table 7.1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,52238,Sheep,,,,,,,,,,,,Nankana Sahib District,,,,,,,,,,,,,,,"Nankana Sahib District is not present in district_master_clean.csv (remote-sensing master covers 34 districts); Head count of animals on census day; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,,,,Table 7.1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,257689,Goats,,,,,,,,,,,,Nankana Sahib District,,,,,,,,,,,,,,,"Nankana Sahib District is not present in district_master_clean.csv (remote-sensing master covers 34 districts); Head count of animals on census day; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,,,,Table 7.1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1738,Camels,,,,,,,,,,,,Nankana Sahib District,,,,,,,,,,,,,,,"Nankana Sahib District is not present in district_master_clean.csv (remote-sensing master covers 34 districts); Head count of animals on census day; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,,,,Table 7.1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6319,Horses,,,,,,,,,,,,Nankana Sahib District,,,,,,,,,,,,,,,"Nankana Sahib District is not present in district_master_clean.csv (remote-sensing master covers 34 districts); Head count of animals on census day; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,,,,Table 7.1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2151,Mules,,,,,,,,,,,,Nankana Sahib District,,,,,,,,,,,,,,,"Nankana Sahib District is not present in district_master_clean.csv (remote-sensing master covers 34 districts); Head count of animals on census day; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,,,,Table 7.1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,54960,Asses,,,,,,,,,,,,Nankana Sahib District,,,,,,,,,,,,,,,"Nankana Sahib District is not present in district_master_clean.csv (remote-sensing master covers 34 districts); Head count of animals on census day; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,,,,Table 7.1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Yak/Dzo/Dzomo,,,,,,,,,,,,Nankana Sahib District,,,,,,,,,,,,,,,"Nankana Sahib District is not present in district_master_clean.csv (remote-sensing master covers 34 districts); Head count of animals on census day; ""-"": no value reported in source; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,,,,Table 7.1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,575954,Cattle,,,,,,,,,,,,Cholistan Area,,,,,,,,,,,,,,,"Cholistan Area is a separate non-district reporting unit within Bahawalpur Division; not present in district_master_clean.csv; Head count of animals on census day; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,,,,Table 7.1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10054,Buffaloes,,,,,,,,,,,,Cholistan Area,,,,,,,,,,,,,,,"Cholistan Area is a separate non-district reporting unit within Bahawalpur Division; not present in district_master_clean.csv; Head count of animals on census day; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,,,,Table 7.1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,357002,Sheep,,,,,,,,,,,,Cholistan Area,,,,,,,,,,,,,,,"Cholistan Area is a separate non-district reporting unit within Bahawalpur Division; not present in district_master_clean.csv; Head count of animals on census day; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,,,,Table 7.1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,257635,Goats,,,,,,,,,,,,Cholistan Area,,,,,,,,,,,,,,,"Cholistan Area is a separate non-district reporting unit within Bahawalpur Division; not present in district_master_clean.csv; Head count of animals on census day; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,,,,Table 7.1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5708,Camels,,,,,,,,,,,,Cholistan Area,,,,,,,,,,,,,,,"Cholistan Area is a separate non-district reporting unit within Bahawalpur Division; not present in district_master_clean.csv; Head count of animals on census day; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,,,,Table 7.1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19,Horses,,,,,,,,,,,,Cholistan Area,,,,,,,,,,,,,,,"Cholistan Area is a separate non-district reporting unit within Bahawalpur Division; not present in district_master_clean.csv; Head count of animals on census day; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,,,,Table 7.1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,520,Mules,,,,,,,,,,,,Cholistan Area,,,,,,,,,,,,,,,"Cholistan Area is a separate non-district reporting unit within Bahawalpur Division; not present in district_master_clean.csv; Head count of animals on census day; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,,,,Table 7.1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8764,Asses,,,,,,,,,,,,Cholistan Area,,,,,,,,,,,,,,,"Cholistan Area is a separate non-district reporting unit within Bahawalpur Division; not present in district_master_clean.csv; Head count of animals on census day; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,,,,Table 7.1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Yak/Dzo/Dzomo,,,,,,,,,,,,Cholistan Area,,,,,,,,,,,,,,,"Cholistan Area is a separate non-district reporting unit within Bahawalpur Division; not present in district_master_clean.csv; Head count of animals on census day; ""-"": no value reported in source; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,,,,Table 7.1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tunnel farming: farms reporting and area protected by tenure from Table 6.19. Sprinkler, drip and central pivot adoption is not published as separate district-level counts; Table 4.2 reports one combined irrigated-area column (sprinkler/drip/central pivot), carried in sprinkler_drip_pivot_area. tunnel_area_owner_cum_tenant_percent appears misprinted in the source (duplicates the owner percent); values preserved as reported.",,,,,,,,,,,,,,Chiniot District,,,,,,,,,,,,,,,"Chiniot District is not present in district_master_clean.csv (remote-sensing master covers 34 districts); Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,,,,"Tables 6.19, 4.2",2024,,,,,,,,,,,,,,,,,,,,121,,87,87,19,13,64,140,0,,,
"Tunnel farming: farms reporting and area protected by tenure from Table 6.19. Sprinkler, drip and central pivot adoption is not published as separate district-level counts; Table 4.2 reports one combined irrigated-area column (sprinkler/drip/central pivot), carried in sprinkler_drip_pivot_area. tunnel_area_owner_cum_tenant_percent appears misprinted in the source (duplicates the owner percent); values preserved as reported.",,,,,,,,,,,,,,Nankana Sahib District,,,,,,,,,,,,,,,"Nankana Sahib District is not present in district_master_clean.csv (remote-sensing master covers 34 districts); Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,,,,"Tables 6.19, 4.2",2024,,,,,,,,,,,,,,,,,,,,464,25,95,95,,,202,489,0,,,
"Tunnel farming: farms reporting and area protected by tenure from Table 6.19. Sprinkler, drip and central pivot adoption is not published as separate district-level counts; Table 4.2 reports one combined irrigated-area column (sprinkler/drip/central pivot), carried in sprinkler_drip_pivot_area. tunnel_area_owner_cum_tenant_percent appears misprinted in the source (duplicates the owner percent); values preserved as reported.",,,,,,,,,,,,,,Cholistan Area,,,,,,,,,,,,,,,"Cholistan Area is a separate non-district reporting unit within Bahawalpur Division; not present in district_master_clean.csv; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,,,,"Tables 6.19, 4.2",2024,,,,,,,,,,,,,,,,,,,,4,,100,100,,,1,4,,,,
